Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending)
021-142305975,3,21,Department of Transportation,,,,31/08/2025,
021-142305975,3,21,Department of Transportation,,,,,
021-142305975,3,21,Department of Transportation,,,,,
021-142305975,3,21,Department of Transportation,,,,12/10/2020,
021-142305975,3,21,Department of Transportation,,,,28/12/2013,
021-142305975,3,21,Department of Transportation,,,,30/09/2011,
021-142305975,3,21,Department of Transportation,,,,,
021-142305975,3,21,Department of Transportation,,,,,
029-888888105,7,29,Department of Veterans Affairs,,,,11/03/2015,
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,25/02/2015,22/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,25/02/2015,22/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,25/02/2015,22/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,29/08/2014,01/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,11/03/2014,10/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,11/03/2014,10/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,,,,,
029-888888105,7,29,Department of Veterans Affairs,,N,17/07/2015,16/07/2017,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,17/03/2014,23/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,17/03/2014,23/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,,N,25/09/2015,24/03/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,31/03/2015,03/07/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,01/04/2014,31/03/2016,N
029-888888105,7,29,Department of Veterans Affairs,,N,07/04/2015,06/04/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,09/04/2014,08/04/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,18/08/2015,24/09/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,31/03/2015,03/07/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,05/05/2014,04/05/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,08/05/2015,10/05/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,08/05/2015,10/05/2018,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,13/05/2014,12/05/2018,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,02/06/2014,01/06/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,16/09/2015,15/06/2016,N
029-888888105,7,29,Department of Veterans Affairs,,N,24/12/2015,23/06/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,17/07/2015,16/07/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,27/07/2015,26/07/2020,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,07/03/2014,31/07/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,03/08/2015,02/08/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,08/08/2014,07/04/2016,N
029-888888105,7,29,Department of Veterans Affairs,Time and Materials,N,22/08/2014,24/08/2017,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,01/04/2012,31/03/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,29/08/2015,28/08/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,01/04/2012,31/03/2017,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,06/09/2014,05/09/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,13/09/2015,12/12/2017,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,14/09/2014,15/09/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,18/09/2013,17/09/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,18/09/2013,17/09/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,22/09/2014,21/09/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,22/09/2015,22/09/2016,N
029-888888105,7,29,Department of Veterans Affairs,,N,18/08/2015,24/09/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,18/08/2015,24/09/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,18/08/2015,24/09/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,18/08/2015,24/09/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,01/10/2015,30/09/2019,N
029-888888105,7,29,Department of Veterans Affairs,,N,16/12/2015,31/10/2016,N
029-888888105,7,29,Department of Veterans Affairs,,N,01/12/2015,30/11/2018,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,22/12/2014,21/12/2018,N
029-888888105,7,29,Department of Veterans Affairs,,N,23/12/2015,22/12/2018,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,01/01/2014,31/12/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,01/04/2012,31/03/2017,N
029-888888105,7,29,Department of Veterans Affairs,,N,31/03/2015,03/07/2016,N
029-888888105,7,29,Department of Veterans Affairs,Firm Fixed Price,N,06/02/2014,30/01/2018,N
029-555555110,8,29,Department of Veterans Affairs,,,,07/09/2016,
029-555555110,8,29,Department of Veterans Affairs,,N,28/09/2015,27/09/2016,N
029-555555110,8,29,Department of Veterans Affairs,,N,14/09/2015,13/09/2017,N
184-000000008,10,184,U.S. Agency for International Development,,,,28/10/2015,
184-000000008,10,184,U.S. Agency for International Development,,,,,
184-000000008,10,184,U.S. Agency for International Development,,,,09/07/2017,
184-000000008,10,184,U.S. Agency for International Development,,,,31/12/2018,
184-000000008,10,184,U.S. Agency for International Development,,,,30/09/2016,
184-000000008,10,184,U.S. Agency for International Development,,,,28/07/2015,
184-000000008,10,184,U.S. Agency for International Development,,,,,
184-000000008,10,184,U.S. Agency for International Development,,,,31/12/2018,
184-000000008,10,184,U.S. Agency for International Development,,,,,
184-000000008,10,184,U.S. Agency for International Development,,,,,
184-000000008,10,184,U.S. Agency for International Development,,,,,
184-000000005,12,184,U.S. Agency for International Development,,,,29/08/2016,
184-000000005,12,184,U.S. Agency for International Development,,,,,
184-000000005,12,184,U.S. Agency for International Development,,,,31/07/2018,
184-000000005,12,184,U.S. Agency for International Development,,,,,
007-000000049,13,7,Department of Defense,,,,30/09/2012,
007-000000049,13,7,Department of Defense,,,,30/01/2014,
007-000000049,13,7,Department of Defense,,,,28/02/2013,
007-000000049,13,7,Department of Defense,,,,,
007-000000049,13,7,Department of Defense,,,,30/09/2020,
007-000000049,13,7,Department of Defense,,,,30/09/2013,
007-000000049,13,7,Department of Defense,,,,15/07/2013,
007-000000049,13,7,Department of Defense,,,,10/01/2013,
007-000000049,13,7,Department of Defense,,,,28/02/2014,
007-000000049,13,7,Department of Defense,,,,28/02/2014,
007-000000049,13,7,Department of Defense,,,,,
007-000000049,13,7,Department of Defense,,,,,
007-000000049,13,7,Department of Defense,,,,30/11/2015,
007-000000049,13,7,Department of Defense,,,,30/04/2015,
007-000000049,13,7,Department of Defense,,,,30/04/2016,
007-000000049,13,7,Department of Defense,,,,,
007-000000049,13,7,Department of Defense,,,,,
